assembly_accession	taxid	organism_name	infraspecific_name	file_path
GCF_000750535.1	759620	Weissella ceti	strain=WS105	models/w/weissella/Weissella_ceti_WS105.xml.gz
GCF_000220335.1	1027292	Sporosarcina newyorkensis 2681	strain=2681	models/s/sporosarcina/Sporosarcina_newyorkensis_2681.xml.gz
GCF_001373515.1	761804	Mycobacterium europaeum	strain=CSUR P1344	models/m/mycobacterium/Mycobacterium_europaeum_CSUR_P1344.xml.gz
GCF_000741175.1	1437609	Bifidobacterium callitrichos DSM 23973	strain=DSM 23973	models/b/bifidobacterium/Bifidobacterium_callitrichos_DSM_23973.xml.gz
GCF_000741715.1	1437607	Bifidobacterium saguini DSM 23967	strain=DSM 23967	models/b/bifidobacterium/Bifidobacterium_saguini_DSM_23967.xml.gz
GCF_000741785.1	762211	Bifidobacterium stellenboschense	strain=DSM 23968	models/b/bifidobacterium/Bifidobacterium_stellenboschense_DSM_23968.xml.gz
GCF_000741165.1	1437608	Bifidobacterium biavatii DSM 23969	strain=DSM 23969	models/b/bifidobacterium/Bifidobacterium_biavatii_DSM_23969.xml.gz
GCF_900106565.1	762486	Lutibacter oricola	strain=DSM 24956	models/l/lutibacter/Lutibacter_oricola_DSM_24956.xml.gz
GCF_001742285.1	762845	Enterococcus rivorum	strain=LMG 25899	models/e/enterococcus/Enterococcus_rivorum_LMG_25899.xml.gz
GCF_001636325.1	762947	Bacillus eiseniae	strain=FJAT-2352	models/b/bacillus/Bacillus_eiseniae_FJAT_2352.xml.gz
GCF_000941055.1	1454006	Siansivirga zeaxanthinifaciens CC-SAMT-1	strain=CC-SAMT-1	models/s/siansivirga/Siansivirga_zeaxanthinifaciens_CC_SAMT_1.xml.gz
GCF_002105195.1	764842	Derxia lacustris	strain=HL-12	models/d/derxia/Derxia_lacustris_HL_12.xml.gz
GCF_900106675.1	765699	Defluviimonas indica	strain=DSM 24802	models/d/defluviimonas/Defluviimonas_indica_DSM_24802.xml.gz
GCF_000320365.1	1230338	Moraxella macacae 0408225	strain=0408225	models/m/moraxella/Moraxella_macacae_0408225.xml.gz
GCF_001730225.1	766136	Desulfuribacillus alkaliarsenatis	strain=AHT28	models/d/desulfuribacillus/Desulfuribacillus_alkaliarsenatis_AHT28.xml.gz
GCF_001483745.1	767452	Serinicoccus chungangensis	strain=CD08_5	models/s/serinicoccus/Serinicoccus_chungangensis_CD08_5.xml.gz
GCF_000770305.1	796334	Erwinia oleae	strain=DAPP-PG531	models/e/erwinia/Erwinia_oleae_DAPP_PG531.xml.gz
GCF_000238095.2	796937	Peptoanaerobacter stomatis	strain=CM2	models/p/peptoanaerobacter/Peptoanaerobacter_stomatis_CM2.xml.gz
GCF_000242235.1	796942	Stomatobaculum longum	strain=ACC2	models/s/stomatobaculum/Stomatobaculum_longum_ACC2.xml.gz
GCF_900105005.1	797277	Pseudomonas litoralis	strain=2SM5	models/p/pseudomonas/Pseudomonas_litoralis_2SM5.xml.gz
GCF_900106795.1	797419	Aequorivita viscosa	strain=CGMCC 1.11023	models/a/aequorivita/Aequorivita_viscosa_CGMCC_1_11023.xml.gz
GCF_900109185.1	856736	Deinococcus reticulitermitis	strain=CGMCC 1.10218	models/d/deinococcus/Deinococcus_reticulitermitis_CGMCC_1_10218.xml.gz
GCF_002197985.1	857252	Pseudomonas aestusnigri	strain=VGXO14	models/p/pseudomonas/Pseudomonas_aestusnigri_VGXO14.xml.gz
GCF_001294205.1	857265	Amantichitinum ursilacus	strain=IGB-41	models/a/amantichitinum/Amantichitinum_ursilacus_IGB_41.xml.gz
GCF_900176385.1	857417	Janibacter indicus	strain=CGMCC 1.12511	models/j/janibacter/Janibacter_indicus_CGMCC_1_12511.xml.gz
GCF_001650345.1	858640	Photobacterium jeanii	strain=R-40508	models/p/photobacterium/Photobacterium_jeanii_R_40508.xml.gz
GCF_000315795.1	1238182	Caenispirillum salinarum AK4	strain=AK4	models/c/caenispirillum/Caenispirillum_salinarum_AK4.xml.gz
GCF_001636345.1	859144	Bacillus gottheilii	strain=FJAT-2394	models/b/bacillus/Bacillus_gottheilii_FJAT_2394.xml.gz
GCF_001302585.1	860235	Kibdelosporangium phytohabitans	strain=KLBMP1111	models/k/kibdelosporangium/Kibdelosporangium_phytohabitans_KLBMP1111.xml.gz
GCF_900100015.1	861298	Vibrio xiamenensis	strain=CGMCC 1.10228	models/v/vibrio/Vibrio_xiamenensis_CGMCC_1_10228.xml.gz
GCF_900188165.1	861865	Sphingomonas laterariae	strain=LNB2	models/s/sphingomonas/Sphingomonas_laterariae_LNB2.xml.gz
GCF_001187555.1	863921	Gilvimarinus polysaccharolyticus	strain=YN3	models/g/gilvimarinus/Gilvimarinus_polysaccharolyticus_YN3.xml.gz
GCF_001906585.1	864058	Streptomyces kebangsaanensis	strain=SUK12	models/s/streptomyces/Streptomyces_kebangsaanensis_SUK12.xml.gz
GCF_000262405.1	864069	Microvirga lotononidis	strain=WSM3557	models/m/microvirga/Microvirga_lotononidis_WSM3557.xml.gz
GCF_000309945.1	864702	Oscillatoriales cyanobacterium JSC-12	strain=JSC-12	models/o/oscillatoriales/Oscillatoriales_cyanobacterium_JSC_12.xml.gz
GCF_001435995.1	1423781	Lactobacillus ozensis DSM 23829 = JCM 17196	strain=DSM 23829	models/l/lactobacillus/Lactobacillus_ozensis_DSM_23829_JCM_17196.xml.gz
GCF_900110965.1	867345	Ectothiorhodospira magna	strain=B7-7	models/e/ectothiorhodospira/Ectothiorhodospira_magna_B7_7.xml.gz
GCF_001306145.1	869279	Thermanaerothrix daxensis	strain=GNS-1	models/t/thermanaerothrix/Thermanaerothrix_daxensis_GNS_1.xml.gz
GCF_001950255.1	870242	Carboxydothermus pertinax	strain=Ug1	models/c/carboxydothermus/Carboxydothermus_pertinax_Ug1.xml.gz
GCF_900112595.1	870482	Algibacter pectinivorans	strain=DSM 25730	models/a/algibacter/Algibacter_pectinivorans_DSM_25730.xml.gz
GCF_000179915.2	401053	Terriglobus saanensis SP1PR4	strain=SP1PR4	models/t/terriglobus/Terriglobus_saanensis_SP1PR4.xml.gz
GCF_900129685.1	870908	Thalassobius maritimus	strain=DSM 28223	models/t/thalassobius/Thalassobius_maritimus_DSM_28223.xml.gz
GCF_000698575.1	871203	Caballeronia zhejiangensis	strain=OP-1	models/c/caballeronia/Caballeronia_zhejiangensis_OP_1.xml.gz
GCF_000614145.1	1236513	Bacteroides faecichinchillae JCM 17102	strain=JCM 17102	models/b/bacteroides/Bacteroides_faecichinchillae_JCM_17102.xml.gz
GCF_900111875.1	871651	Poseidonocella pacifica	strain=DSM 29316	models/p/poseidonocella/Poseidonocella_pacifica_DSM_29316.xml.gz
GCF_900116005.1	871652	Poseidonocella sedimentorum	strain=KMM 9023,NRIC 0796,JCM 17311,KCTC 23692	models/p/poseidonocella/Poseidonocella_sedimentorum_KMM_9023_NRIC_0796_JCM_17311_KCTC_23692.xml.gz
GCF_900116065.1	871741	Brevundimonas viscosa	strain=CGMCC 1.10683	models/b/brevundimonas/Brevundimonas_viscosa_CGMCC_1_10683.xml.gz
GCF_000297025.1	1423790	Lactobacillus pasteurii DSM 23907 = CRBIP 24.76	strain=type strain:CRBIP 24.76	models/l/lactobacillus/Lactobacillus_pasteurii_DSM_23907_CRBIP_24_76_type_strain_CRBIP_24_76.xml.gz
GCF_001293545.1	872965	Ardenticatena maritima	strain=110S	models/a/ardenticatena/Ardenticatena_maritima_110S.xml.gz
GCF_900110345.1	872970	Amphibacillus marinus	strain=CGMCC 1.10434	models/a/amphibacillus/Amphibacillus_marinus_CGMCC_1_10434.xml.gz
GCF_001021555.1	874156	Erythrobacter marinus	strain=KCTC 23554	models/e/erythrobacter/Erythrobacter_marinus_KCTC_23554.xml.gz
GCF_900102315.1	875171	Celeribacter baekdonensis	strain=DSM 27375	models/c/celeribacter/Celeribacter_baekdonensis_DSM_27375.xml.gz
GCF_000214155.1	875328	Mycobacterium sinense	strain=JDM601	models/m/mycobacterium/Mycobacterium_sinense_JDM601.xml.gz
GCF_001667375.1	875328	Mycobacterium sinense	strain=852014-51077_SCH5608930-a	models/m/mycobacterium/Mycobacterium_sinense_852014_51077_SCH5608930_a.xml.gz
GCF_001667945.1	875328	Mycobacterium sinense	strain=E1572	models/m/mycobacterium/Mycobacterium_sinense_E1572.xml.gz
GCF_000385335.1	876269	Methyloferula stellata AR4	strain=AR4T	models/m/methyloferula/Methyloferula_stellata_AR4_AR4T.xml.gz
GCF_001418245.1	876478	Tepidiphilus thermophilus	strain=JCM 19170	models/t/tepidiphilus/Tepidiphilus_thermophilus_JCM_19170.xml.gz
GCF_000935065.1	877500	Arcobacter anaerophilus	strain=IR-1	models/a/arcobacter/Arcobacter_anaerophilus_IR_1.xml.gz
GCF_000341895.1	1322246	Pseudodesulfovibrio piezophilus C1TLV30	strain=type strain: C1TLV30	models/p/pseudodesulfovibrio/Pseudodesulfovibrio_piezophilus_C1TLV30_type_strain_C1TLV30.xml.gz
GCF_000331535.1	1237149	Fulvivirga imtechensis AK7	strain=AK7	models/f/fulvivirga/Fulvivirga_imtechensis_AK7.xml.gz
GCF_000736515.1	1453500	Schleiferia thermophila str. Yellowstone	strain=Yellowstone	models/s/schleiferia/Schleiferia_thermophila_str_Yellowstone.xml.gz
GCF_000025225.2	699246	Mageeibacillus indolicus UPII9-5	strain=UPII9-5	models/m/mageeibacillus/Mageeibacillus_indolicus_UPII9_5.xml.gz
GCF_000255115.2	646529	Desulfosporosinus acidiphilus SJ4	strain=SJ4	models/d/desulfosporosinus/Desulfosporosinus_acidiphilus_SJ4.xml.gz
GCF_900185595.1	439482	Calothrix rhizosoleniae SC01		models/c/calothrix/Calothrix_rhizosoleniae_SC01.xml.gz
GCF_000829435.1	889306	Jeotgalibacillus soli Cunha et al. 2012	strain=P9	models/j/jeotgalibacillus/Jeotgalibacillus_soli_Cunha_et_al_2012_P9.xml.gz
GCF_002201795.1	889453	Alkalitalea saponilacus	strain=SC/BZ-SP2	models/a/alkalitalea/Alkalitalea_saponilacus_SC_BZ_SP2.xml.gz
GCF_000180175.2	891974	Plautia stali symbiont		models/p/plautia/Plautia_stali_symbiont.xml.gz
GCF_001689915.1	904291	Microbacterium sediminis	strain=YLB-01	models/m/microbacterium/Microbacterium_sediminis_YLB_01.xml.gz
GCF_000732625.1	906888	Nonlabens ulvanivorans	strain=PLR	models/n/nonlabens/Nonlabens_ulvanivorans_PLR.xml.gz
GCF_900107595.1	908615	Psychroflexus halocasei	strain=DSM 23581	models/p/psychroflexus/Psychroflexus_halocasei_DSM_23581.xml.gz
GCF_001440545.1	908809	Caloramator mitchellensis	strain=VF08	models/c/caloramator/Caloramator_mitchellensis_VF08.xml.gz
GCF_000564855.1	909613	Actinokineospora spheciospongiae	strain=EG49	models/a/actinokineospora/Actinokineospora_spheciospongiae_EG49.xml.gz
GCF_001029505.1	909625	Rubrobacter aplysinae	strain=RV113	models/r/rubrobacter/Rubrobacter_aplysinae_RV113.xml.gz
GCF_900112355.1	910347	Streptomyces aidingensis	strain=CGMCC 4.5739	models/s/streptomyces/Streptomyces_aidingensis_CGMCC_4_5739.xml.gz
GCF_000007085.1	273068	Caldanaerobacter subterraneus subsp. tengcongensis MB4	strain=MB4	models/c/caldanaerobacter/Caldanaerobacter_subterraneus_subsp_tengcongensis_MB4.xml.gz
GCF_000964595.1	1359168	Orientia chuto str. Dubai	strain=Dubai	models/o/orientia/Orientia_chuto_str_Dubai.xml.gz
GCF_002101705.1	912594	Mycobacterium iranicum	strain=DSM 45541	models/m/mycobacterium/Mycobacterium_iranicum_DSM_45541.xml.gz
GCF_900115115.1	913024	Flavobacterium ummariense	strain=DS-12	models/f/flavobacterium/Flavobacterium_ummariense_DS_12.xml.gz
GCF_000576635.1	1385369	Skermanella stibiiresistens SB22	strain=SB22	models/s/skermanella/Skermanella_stibiiresistens_SB22.xml.gz
GCF_000768675.1	1385518	Knoellia flava TL1	strain=TL1	models/k/knoellia/Knoellia_flava_TL1.xml.gz
GCF_000981765.1	914150	Kangiella geojedonensis	strain=YCS-5	models/k/kangiella/Kangiella_geojedonensis_YCS_5.xml.gz
GCF_000807855.2	915059	Flammeovirga pacifica	strain=WPAGA1	models/f/flammeovirga/Flammeovirga_pacifica_WPAGA1.xml.gz
GCF_000737325.1	927083	Sandaracinus amylolyticus	strain=DSM 53668	models/s/sandaracinus/Sandaracinus_amylolyticus_DSM_53668.xml.gz
GCF_000332215.1	927668	Pseudanabaena biceps PCC 7429	strain=PCC 7429	models/p/pseudanabaena/Pseudanabaena_biceps_PCC_7429.xml.gz
GCF_002009015.1	927787	Microbulbifer mangrovi	strain=DD-13	models/m/microbulbifer/Microbulbifer_mangrovi_DD_13.xml.gz
GCF_000312525.1	928210	Bartonella florencae	strain=R4	models/b/bartonella/Bartonella_florencae_R4.xml.gz
GCF_001458415.1	928856	Tropicibacter multivorans	strain=CECT 7557	models/t/tropicibacter/Tropicibacter_multivorans_CECT_7557.xml.gz
GCF_900129485.1	930117	Ornithinibacillus halophilus	strain=IBRC-M 10683	models/o/ornithinibacillus/Ornithinibacillus_halophilus_IBRC_M_10683.xml.gz
GCF_900114155.1	930118	Marinobacter persicus	strain=IBRC-M 10445	models/m/marinobacter/Marinobacter_persicus_IBRC_M_10445.xml.gz
GCF_002019635.1	930124	Bacillus halosaccharovorans	strain=DSM 25387	models/b/bacillus/Bacillus_halosaccharovorans_DSM_25387.xml.gz
GCF_900113025.1	930128	Alteribacillus iranensis	strain=DSM 23995	models/a/alteribacillus/Alteribacillus_iranensis_DSM_23995.xml.gz
GCF_900099745.1	930129	Alteribacillus bidgolensis	strain=P4B,CCM 7963,CECT 7998,DSM 25260,IBRC-M 10614,KCTC 13821	models/a/alteribacillus/Alteribacillus_bidgolensis_P4B_CCM_7963_CECT_7998_DSM_25260_IBRC_M_10614_KCTC_13821.xml.gz
GCF_900111445.1	930131	Oceanobacillus limi	strain=IBRC-M 10780	models/o/oceanobacillus/Oceanobacillus_limi_IBRC_M_10780.xml.gz
GCF_900110815.1	930138	Aliicoccus persicus	strain=IBRC-M10081	models/a/aliicoccus/Aliicoccus_persicus_IBRC_M10081.xml.gz
GCF_900109925.1	930146	Bacillus persicus	strain=B48,IBRC-M 10115,DSM 25386,CECT 8001	models/b/bacillus/Bacillus_persicus_B48_IBRC_M_10115_DSM_25386_CECT_8001.xml.gz
GCF_900104555.1	930152	Bacillus salsus	strain=IBRC-M10078	models/b/bacillus/Bacillus_salsus_IBRC_M10078.xml.gz
GCF_000831385.1	1454201	Nonlabens marinus S1-08	strain=S1-08	models/n/nonlabens/Nonlabens_marinus_S1_08.xml.gz
GCF_001983995.1	930805	Halioglobus japonicus	strain=NBRC 107739	models/h/halioglobus/Halioglobus_japonicus_NBRC_107739.xml.gz
GCF_001953075.1	930806	Halioglobus pacificus	strain=RR3-57	models/h/halioglobus/Halioglobus_pacificus_RR3_57.xml.gz
GCF_001311785.1	1293598	Lactobacillus saniviri JCM 17471 = DSM 24301	strain=JCM 17471	models/l/lactobacillus/Lactobacillus_saniviri_JCM_17471_DSM_24301.xml.gz
GCF_001436555.1	1423802	Lactobacillus senioris DSM 24302 = JCM 17472	strain=DSM 24302	models/l/lactobacillus/Lactobacillus_senioris_DSM_24302_JCM_17472.xml.gz
GCF_900110025.1	933059	Gemmobacter aquatilis	strain=DSM 3857	models/g/gemmobacter/Gemmobacter_aquatilis_DSM_3857.xml.gz
GCF_900112975.1	935223	Flavobacterium xueshanense	strain=CGMCC 1.9227	models/f/flavobacterium/Flavobacterium_xueshanense_CGMCC_1_9227.xml.gz
GCF_000877395.1	935700	Jannaschia aquimarina	strain=GSW-M26	models/j/jannaschia/Jannaschia_aquimarina_GSW_M26.xml.gz
GCF_000177635.2	653733	Desulfurispirillum indicum S5	strain=S5	models/d/desulfurispirillum/Desulfurispirillum_indicum_S5.xml.gz
GCF_000214215.1	491952	Marinomonas posidonica IVIA-Po-181	strain=IVIA-Po-181	models/m/marinomonas/Marinomonas_posidonica_IVIA_Po_181.xml.gz
GCF_900176465.1	937218	Fulvimarina manganoxydans	strain=CGMCC 1.10972	models/f/fulvimarina/Fulvimarina_manganoxydans_CGMCC_1_10972.xml.gz
GCF_002153375.1	937927	Oceanobacillus rekensis	strain=PT-11	models/o/oceanobacillus/Oceanobacillus_rekensis_PT_11.xml.gz
GCF_001618145.1	937928	Oceanobacillus damuensis	strain=PT-20	models/o/oceanobacillus/Oceanobacillus_damuensis_PT_20.xml.gz
GCF_000312505.2	938288	Fenollaria massiliensis	strain=9401234	models/f/fenollaria/Fenollaria_massiliensis_9401234.xml.gz
GCF_000308275.2	938289	Levyella massiliensis	strain=9403326	models/l/levyella/Levyella_massiliensis_9403326.xml.gz
GCF_000312365.2	938293	Anaerococcus provencensis	strain=9402080	models/a/anaerococcus/Anaerococcus_provencensis_9402080.xml.gz
GCF_900104205.1	938405	Belnapia rosea	strain=CGMCC 1.10758	models/b/belnapia/Belnapia_rosea_CGMCC_1_10758.xml.gz
GCF_000178955.2	682795	Granulicella mallensis MP5ACTX8	strain=MP5ACTX8	models/g/granulicella/Granulicella_mallensis_MP5ACTX8.xml.gz
GCF_000178975.2	1198114	Granulicella tundricola MP5ACTX9	strain=MP5ACTX9	models/g/granulicella/Granulicella_tundricola_MP5ACTX9.xml.gz
GCF_900177405.1	941907	Sphingomonas indica	strain=Dd16	models/s/sphingomonas/Sphingomonas_indica_Dd16.xml.gz
GCF_001438845.1	942150	Lactobacillus xiangfangensis	strain=LMG 26013	models/l/lactobacillus/Lactobacillus_xiangfangensis_LMG_26013.xml.gz
GCF_001436115.1	1423727	Lactobacillus brantae DSM 23927	strain=DSM 23927	models/l/lactobacillus/Lactobacillus_brantae_DSM_23927.xml.gz
GCF_900111245.1	943816	Streptomyces qinglanensis	strain=CGMCC 4.6825	models/s/streptomyces/Streptomyces_qinglanensis_CGMCC_4_6825.xml.gz
GCF_001618955.1	943830	Tardiphaga robiniae	strain=Vaf-07	models/t/tardiphaga/Tardiphaga_robiniae_Vaf_07.xml.gz
GCF_000826655.1	943936	Psychroserpens damuponensis	strain=JCM 17632	models/p/psychroserpens/Psychroserpens_damuponensis_JCM_17632.xml.gz
GCF_000744435.1	944479	Hippea jasoniae	strain=Mar08-272r	models/h/hippea/Hippea_jasoniae_Mar08_272r.xml.gz
GCF_001434705.1	1291734	Lactobacillus nasuensis JCM 17158	strain=JCM 17158	models/l/lactobacillus/Lactobacillus_nasuensis_JCM_17158.xml.gz
GCF_000192435.1	644548	Gordonia neofelifaecis NRRL B-59395	strain=NRRL B-59395	models/g/gordonia/Gordonia_neofelifaecis_NRRL_B_59395.xml.gz
GCF_900089585.1	946078	Micromonospora sediminicola	strain=DSM 45794	models/m/micromonospora/Micromonospora_sediminicola_DSM_45794.xml.gz
GCF_002116905.1	946333	Rhizobacter gummiphilus	strain=NS21	models/r/rhizobacter/Rhizobacter_gummiphilus_NS21.xml.gz
GCF_900163715.1	946573	Brevibacterium yomogidense	strain=B Co 03.10	models/b/brevibacterium/Brevibacterium_yomogidense_B_Co_03_10.xml.gz
GCF_900129725.1	947013	Chryseolinea serpens	strain=DSM 24574	models/c/chryseolinea/Chryseolinea_serpens_DSM_24574.xml.gz
GCF_001468005.1	947033	Legionella steelei	strain=IMVS3376	models/l/legionella/Legionella_steelei_IMVS3376.xml.gz
GCF_000747155.1	1384056	Arenimonas metalli CF5-1	strain=CF5-1	models/a/arenimonas/Arenimonas_metalli_CF5_1.xml.gz
GCF_002013895.1	948102	Mycobacterium franklinii	strain=CV002	models/m/mycobacterium/Mycobacterium_franklinii_CV002.xml.gz
GCF_001865575.1	754502	Paraburkholderia sprentiae WSM5005	strain=WSM5005	models/p/paraburkholderia/Paraburkholderia_sprentiae_WSM5005.xml.gz
GCF_001642875.1	980251	Mariniblastus fucicola	strain=FC18	models/m/mariniblastus/Mariniblastus_fucicola_FC18.xml.gz
GCF_001642915.1	980254	Roseimaritima ulvae	strain=DSM 25454	models/r/roseimaritima/Roseimaritima_ulvae_DSM_25454.xml.gz
GCF_000478785.1	1403343	Deinococcus wulumuqiensis R13	strain=R13	models/d/deinococcus/Deinococcus_wulumuqiensis_R13.xml.gz
GCF_001644015.1	980561	Methylomonas lenta	strain=R-45370	models/m/methylomonas/Methylomonas_lenta_R_45370.xml.gz
GCF_000192475.1	981384	Ruegeria conchae	strain=TW15	models/r/ruegeria/Ruegeria_conchae_TW15.xml.gz
GCF_000741695.1	1437610	Bifidobacterium reuteri DSM 23975	strain=DSM 23975	models/b/bifidobacterium/Bifidobacterium_reuteri_DSM_23975.xml.gz
GCF_000739795.1	1218081	Paraburkholderia kururiensis subsp. thiooxydans NBRC 107107	strain=NBRC 107107	models/p/paraburkholderia/Paraburkholderia_kururiensis_subsp_thiooxydans_NBRC_107107.xml.gz
GCF_000477415.1	1403316	Mycoplasma parvum str. Indiana	strain=Indiana	models/m/mycoplasma/Mycoplasma_parvum_str_Indiana.xml.gz
GCF_000743705.1	985054	Ruegeria halocynthiae	strain=MOLA R1/13b	models/r/ruegeria/Ruegeria_halocynthiae_MOLA_R1_13b.xml.gz
GCF_900111105.1	988801	Rosenbergiella nectarea	strain=8N4	models/r/rosenbergiella/Rosenbergiella_nectarea_8N4.xml.gz
GCF_900111925.1	988821	Cellulomonas marina	strain=CGMCC 4.6945	models/c/cellulomonas/Cellulomonas_marina_CGMCC_4_6945.xml.gz
GCF_900110875.1	989403	Pseudovibrio axinellae	strain=DSM 24994	models/p/pseudovibrio/Pseudovibrio_axinellae_DSM_24994.xml.gz
GCF_900103545.1	990371	Pedobacter ruber	strain=DSM 24536	models/p/pedobacter/Pedobacter_ruber_DSM_24536.xml.gz
GCF_900102905.1	990712	Albidovulum xiamenense	strain=CGMCC 1.10789	models/a/albidovulum/Albidovulum_xiamenense_CGMCC_1_10789.xml.gz
GCF_000192745.1	991905	Polymorphum gilvum SL003B-26A1	strain=SL003B-26A1	models/p/polymorphum/Polymorphum_gilvum_SL003B_26A1.xml.gz
GCF_001457025.1	993070	Arthrobacter enclensis	strain=NIO-1008	models/a/arthrobacter/Arthrobacter_enclensis_NIO_1008.xml.gz
GCF_002077135.1	993689	Metallibacterium scheffleri	strain=DKE6	models/m/metallibacterium/Metallibacterium_scheffleri_DKE6.xml.gz
GCF_001438805.1	993692	Lactobacillus kimchiensis	strain=DSM 24716	models/l/lactobacillus/Lactobacillus_kimchiensis_DSM_24716.xml.gz
GCF_900115155.1	995034	Mycetocola miduiensis	strain=CGMCC 1.11101	models/m/mycetocola/Mycetocola_miduiensis_CGMCC_1_11101.xml.gz
GCF_900116555.1	995060	Actinopolyspora righensis	strain=DSM 45501	models/a/actinopolyspora/Actinopolyspora_righensis_DSM_45501.xml.gz
GCF_900129875.1	996342	Marivita hallyeonensis	strain=DSM 29431	models/m/marivita/Marivita_hallyeonensis_DSM_29431.xml.gz
GCF_001975665.1	996801	Polaribacter reichenbachii	strain=6Alg 8T	models/p/polaribacter/Polaribacter_reichenbachii_6Alg_8T.xml.gz
GCF_001456025.1	371196	Mastigocoleus testarum BC008	strain=BC008	models/m/mastigocoleus/Mastigocoleus_testarum_BC008.xml.gz
GCF_000158915.1	457427	Streptomyces himastatinicus ATCC 53653	strain=ATCC 53653	models/s/streptomyces/Streptomyces_himastatinicus_ATCC_53653.xml.gz
GCF_000349205.1	1286106	Methylophaga lonarensis MPL	strain=MPL	models/m/methylophaga/Methylophaga_lonarensis_MPL.xml.gz
GCF_000473225.1	571166	Sedimentitalea nanhaiensis DSM 24252	strain=DSM 24252	models/s/sedimentitalea/Sedimentitalea_nanhaiensis_DSM_24252.xml.gz
GCF_001652585.1	999894	Thermosulfurimonas dismutans	strain=S95	models/t/thermosulfurimonas/Thermosulfurimonas_dismutans_S95.xml.gz
GCF_000764165.1	1001240	Cryobacterium roopkundense	strain=RuG17	models/c/cryobacterium/Cryobacterium_roopkundense_RuG17.xml.gz
GCF_900115905.1	1002526	Pseudomonas formosensis	strain=JCM 18415	models/p/pseudomonas/Pseudomonas_formosensis_JCM_18415.xml.gz
GCF_000204155.1	263358	Verrucosispora maris AB-18-032	strain=AB-18-032	models/v/verrucosispora/Verrucosispora_maris_AB_18_032.xml.gz
GCF_001854765.1	1004316	Vibrio sonorensis	strain=CAIM 1076	models/v/vibrio/Vibrio_sonorensis_CAIM_1076.xml.gz
GCF_001012815.1	1004326	Vibrio mexicanus	strain=CAIM 1540	models/v/vibrio/Vibrio_mexicanus_CAIM_1540.xml.gz
GCF_000724625.1	661478	Fimbriimonas ginsengisoli Gsoil 348	strain=Gsoil 348	models/f/fimbriimonas/Fimbriimonas_ginsengisoli_Gsoil_348.xml.gz
GCF_900115165.1	1005928	Roseovarius lutimaris	strain=DSM 28463	models/r/roseovarius/Roseovarius_lutimaris_DSM_28463.xml.gz
GCF_900103935.1	1005944	Nocardioides szechwanensis	strain=CGMCC 1.11147	models/n/nocardioides/Nocardioides_szechwanensis_CGMCC_1_11147.xml.gz
GCF_900113685.1	1005945	Nocardioides psychrotolerans	strain=CGMCC 1.11156	models/n/nocardioides/Nocardioides_psychrotolerans_CGMCC_1_11156.xml.gz
GCF_000525955.1	1265845	Listeria weihenstephanensis FSL R9-0317	strain=FSL R9-0317	models/l/listeria/Listeria_weihenstephanensis_FSL_R9_0317.xml.gz
GCF_000953715.1	1006576	Defluviitoga tunisiensis		models/d/defluviitoga/Defluviitoga_tunisiensis.xml.gz
GCF_900106975.1	1007099	Pseudomonas kuykendallii	strain=NRRL B-59562	models/p/pseudomonas/Pseudomonas_kuykendallii_NRRL_B_59562.xml.gz
GCF_001050475.1	1007676	Lactobacillus ginsenosidimutans	strain=EMML 3041	models/l/lactobacillus/Lactobacillus_ginsenosidimutans_EMML_3041.xml.gz
GCF_001719065.1	1008305	Fervidobacterium thailandensis	strain=FC2004	models/f/fervidobacterium/Fervidobacterium_thailandensis_FC2004.xml.gz
GCF_001457035.1	1017270	Fictibacillus enclensis	strain=NIO-1003	models/f/fictibacillus/Fictibacillus_enclensis_NIO_1003.xml.gz
GCF_900156125.1	1017273	Domibacillus enclensis	strain=NIO-1016	models/d/domibacillus/Domibacillus_enclensis_NIO_1016.xml.gz
GCF_900143085.1	1027249	Gracilibacillus kekensis	strain=CGMCC 1.10681	models/g/gracilibacillus/Gracilibacillus_kekensis_CGMCC_1_10681.xml.gz
GCF_001583435.1	570277	Endozoicomonas montiporae CL-33	strain=CL-33	models/e/endozoicomonas/Endozoicomonas_montiporae_CL_33.xml.gz
GCF_900188335.1	1031541	Tropicimonas sediminicola	strain=DSM 29339	models/t/tropicimonas/Tropicimonas_sediminicola_DSM_29339.xml.gz
GCF_000816345.1	580033	Campylobacter volucris LMG 24379	strain=LMG 24379	models/c/campylobacter/Campylobacter_volucris_LMG_24379.xml.gz
GCF_000172555.1	320771	Pedosphaera parvula Ellin514	strain=Ellin514	models/p/pedosphaera/Pedosphaera_parvula_Ellin514.xml.gz
GCF_000213935.1	863239	Corynebacterium nuruki S6-4	strain=S6-4	models/c/corynebacterium/Corynebacterium_nuruki_S6_4.xml.gz
GCF_000285535.1	1033734	Bacillus timonensis	strain=MM10403188	models/b/bacillus/Bacillus_timonensis_MM10403188.xml.gz
GCF_000285835.1	1033736	Brevibacterium senegalense		models/b/brevibacterium/Brevibacterium_senegalense.xml.gz
GCF_000285555.1	1033739	Kurthia massiliensis	strain=JC30T	models/k/kurthia/Kurthia_massiliensis_JC30T.xml.gz
GCF_000285595.1	1033740	Kurthia senegalensis	strain=type strain: JC8E	models/k/kurthia/Kurthia_senegalensis_type_strain_JC8E.xml.gz
GCF_001006805.1	1033741	Microvirga massiliensis	strain=JC119	models/m/microvirga/Microvirga_massiliensis_JC119.xml.gz
